[OBJECT_LIST] = 26
27, 1526, 1904, 1.00, true
27, 2074, 1904, 1.00, true
18, 195, 955, 1.00, true
22, 339, 641, 1.06, true
18, 1585, 130, 1.00, true
21, 2311, 444, 1.00, true
11, 1234, 837, 1.16, true
15, 1021, 839, 1.00, true
12, 3527, 759, 740, true
6, 3586, 616, 1.00, true
12, 4253, 1260, 624, true
1, 4764, 838, 1.31, true
12, 5065, 777, 853, true
0, 5689, 327, 1.45, true
18, 5389, 357, 1.00, true
17, 5032, 127, 1.00, true
27, 5060, 516, 1.00, true
10, 3526, 1797, 0.96, true
12, 3317, 2003, 4219, true
2, 4265, 1582, 1.03, true
5, 4863, 1816, 1.15, true
17, 5533, 1074, 1.00, true
25, 6431, 1204, 1.25, true
27, 5858, 1711, 1.14, true
18, 6514, 570, 1.00, true
14, 6673, 1731, 1.40, true
