[OBJECT_LIST] = 24
12, -4, 2135, 7694,  true
1, 1048, 1630, 1.59,  true
3, 1326, 1647, 1.21,  true
25, 2773, 1371, 1.18,  true
18, 558, 1064, 0.99,  true
8, 2249, 1986, 1.37,  true
10, 2821, 1916, 1.08,  true
11, 4241, 1888, 1.63,  true
0, 3971, 1665, 1.52,  true
15, 4336, 1937, 1.02,  true
17, 3553, 1119, 1.00,  true
12, 4008, 1073, 449,  true
27, 4036, 840, 0.90,  true
26, 4800, 1542, 0.91,  true
18, 4760, 948, 1.00,  true
18, 5226, 1216, 1.00,  true
2, 5405, 1524, 1.48,  true
5, 4944, 1967, 1.17,  true
27, 5991, 1870, 1.00,  true
25, 6574, 1497, 1.00,  true
17, 5957, 770, 1.00,  true
7, 6652, 1952, 1.25,  true
1, 7276, 1697, 1.31,  true
18, 2348, 743, 0.89,  true
