[OBJECT_LIST] = 25
12, 3, 2155, 5117, true
12, 5, 1370, 4486, true
23, 4935, 253, 1.00, true
12, 593, 622, 4579, true
13, 563, 1886, 1.12, true
8, 1162, 1912, 2.48, true
10, 2060, 1731, 2.16, true
2, 754, 1737, 1.00, true
27, 1313, 1900, 1.00, true
5, 4170, 2006, 1.00, true
6, 4620, 2014, 1.00, true
4, 4301, 1870, 1.00, true
15, 4541, 1679, 1.76, true
9, 3713, 1646, 1.19, true
0, 4912, 1562, 1.89, true
18, 3427, 700, 1.00, true
18, 1536, 706, 1.00, true
3, 33, 977, 1.00, true
16, 552, 1056, 1.77, true
12, 2429, 993, 605, true
7, 2104, 1197, 1.23, true
5, 2649, 1206, 1.13, true
12, 0, -1, 5760, true
11, 1227, 329, 1.98, true
12, 2582, 328, 460, true
