[OBJECT_LIST] = 27
12, -5, 2146, 7686,  true
4, 277, 1984, 1.19,  true
9, 1210, 1418, 1.73,  true
2, 828, 1560, 1.40,  true
6, 1410, 1957, 1.29,  true
26, 2597, 1484, 1.02,  true
24, 2756, 1755, 0.94,  true
14, 3291, 1752, 2.06,  true
2, 4343, 1600, 1.35,  true
13, 4842, 1843, 1.18,  true
22, 4842, 350, 0.93,  true
27, 5911, 789, 1.00,  true
2, 5785, 1570, 1.40,  true
12, 5921, 1048, 427,  true
18, 458, 1273, 1.03,  true
17, 1349, 461, 1.00,  true
18, 1743, 793, 1.00,  true
18, 2731, 586, 1.00,  true
27, 2055, 1884, 1.08,  true
17, 3325, 1083, 1.00,  true
18, 3850, 95, 1.00,  true
27, 4245, 992, 1.00,  true
12, 4249, 1252, 436,  true
2, 7193, 1592, 1.34,  true
7, 6173, 1934, 1.41,  true
8, 6886, 1998, 1.59,  true
25, 7077, 1415, 1.14,  true
